year,title,doi,institution_ids
2026,"Stock neutrality, flow crowding-out, and state dependence: revisiting the debt–health nexus in OECD Europe",10.1007/s10198-026-01971-y,cqu;rutgers;unsw
2026,"When Democracy Disappoints: Political, Economic, and Security Drivers of Emigration Intentions in Latin America",10.1007/s12116-026-09505-6,cqu;nankai;sjtu
2026,"Decoding Legislative Dynamics: Empirics on Bill Modifications in China",10.1177/00323217261428857,cqu;tsinghua
2025,"The Rise and Fall of Exclusion: A Longitudinal Study of U.S. Attitudes Toward Immigration",10.1177/01925121251355910,cqu;nankai
2024,"Divergence in Chinese Sexual Attitudes: An Age-Period-Cohort Analysis",10.1007/s10508-024-02900-x,cqu;tsinghua
2024,"Post-Evaluation Pilot Study on the Results of National Key R&D Projects",,cqu;acca21
2021,"Computational Social Science and the Debate on Research Paradigms: The End of Theory?",,cqu;tsinghua
2020,"Statistical Analysis Methods and American Political Science Research",,cqu;tsinghua
2019,"Prospects for the Application of Data Analysis Methods in the Development of the Guangdong-Hong Kong-Macau Greater Bay Area",,cqu;must
